,label,prob_simulation,prob_real
0,000,0.0,0.2353515625
1,001,0.51171875,0.13671875
2,010,0.0,0.1728515625
3,011,0.0,0.0986328125
4,100,0.0,0.1181640625
5,101,0.0,0.0859375
6,110,0.0,0.0869140625
7,111,0.48828125,0.0654296875
