,label,prob_simulation,prob_real
0,000,0.0,0.1640625
1,001,0.51171875,0.109375
2,010,0.0,0.1357421875
3,011,0.0,0.0869140625
4,100,0.0,0.1884765625
5,101,0.0,0.111328125
6,110,0.0,0.134765625
7,111,0.48828125,0.0693359375
