,label,prob_simulation,prob_real
0,000,0.0,0.15234375
1,001,0.4970703125,0.11328125
2,010,0.0,0.1904296875
3,011,0.0,0.12109375
4,100,0.0,0.12890625
5,101,0.0,0.08203125
6,110,0.0,0.1298828125
7,111,0.5029296875,0.08203125
